,Review_title,Review_text,Ratings
81,Worth the money,"Good Laptop from lenovo. Design and the finish of the product is great u will feel premium whenever u use laptop. No question about speed, Windows 11 is good, speakers is not loud enough. Previously i ordered Asus but that laptop have keyboard issues. Hence this time i ordered Lenovo and so far I am happy with the product. If u r not looking for gaming then this laptop will fulfill ur daily needs.",4
82,Great product,Awesome specifications and reasonable price.. Slim and well designed.. Built quality is awesome,5
83,Delightful,"I got the laptop at 35434 with offers. At this price , this product is one the best in the beginners' segment.

Pros:

1. I was using a i3 6th gen with 4gb ram and 1tb hdd. this laptop is way faster than the previous one.
2. Performance is smooth during normal usage
3. The display is good though its a TN, you can find a IPS version which couple of thousands expensive than this one.
4. It's compact and lightweight
5. Ram is expandable
6. privacy shutter feature is nice :)
7. Best speakers in t...
READ MORE",4
84,Awesome,Nice product in this price point I recommend you....you can go for it,5
85,Perfect product!,AWESOME ❤️,5
86,Worth the money,"Best Lenovo laptop under 40000
If you are looking for 512gb SSD 8gb ram.
Lenovo IdeaPad series looks great.
For avg usage it's perfect rather more than avg user's can also go for this. Battery is the only thing which not met my expectations but it charges quickly. I am satisfied with keyboard feedback. Speaker are also okayish,
Lastly display is a bit whiteish we have to reduce brightness level since its TN display not IPS panel. Otherwise all good. Got it at 37500. Dont buy above 40k any d...
READ MORE",4
87,Worth every penny,"First of all thanks to Flipkart for a faster delivery, it was under 2days. You guys are awesome.
The laptop is so much slik looking and classy. It is so much premium looking. The display is great and the performance is even faster. I am a student, doing my bachelor's, so for student work it is more faster than required. I just loved the laptop. But for gaming I don't know, because I can't play games that much. Boot time is less than 6 second.",5
88,Terrific,I love it 💗💗 not because of prize but it's really fast working..and good product...must try it once.,5
89,Best in the market!,"One of the best student laptop money can buy, been using it for over a month now. It's fast and responsive and does not have heat issues.",5
90,Great product,A very good product for a given price. It's more than sufficient for daily use home and office purpose. Slim light weight with incredibly fast operations.,5
91,Worth the money,"Good Laptop from lenovo. Design and the finish of the product is great u will feel premium whenever u use laptop. No question about speed, Windows 11 is good, speakers is not loud enough. Previously i ordered Asus but that laptop have keyboard issues. Hence this time i ordered Lenovo and so far I am happy with the product. If u r not looking for gaming then this laptop will fulfill ur daily needs.",4
92,Great product,Awesome specifications and reasonable price.. Slim and well designed.. Built quality is awesome,5
93,Delightful,"I got the laptop at 35434 with offers. At this price , this product is one the best in the beginners' segment.

Pros:

1. I was using a i3 6th gen with 4gb ram and 1tb hdd. this laptop is way faster than the previous one.
2. Performance is smooth during normal usage
3. The display is good though its a TN, you can find a IPS version which couple of thousands expensive than this one.
4. It's compact and lightweight
5. Ram is expandable
6. privacy shutter feature is nice :)
7. Best speakers in t...
READ MORE",4
94,Awesome,Nice product in this price point I recommend you....you can go for it,5
95,Perfect product!,AWESOME ❤️,5
96,Classy product,Very nice laptop.,5
97,Excellent,"Performance of this laptop is very nice
Display quality is awesome",5
98,Wonderful,"Fast Delivery, Good product but battary backup not good, Display is average, value for money in 38k",4
99,Fabulous!,Just go for it .. best in this budget segment 😍💵,5
100,Excellent,"Wonderful product battery backup is Good and performs well ,",5
101,Great product,Very good product,5
102,Worth the money,Nice,4
103,Not good,Battery drains very fast,2
104,Very Good,Superr,4
105,Delightful,"Really nice. Looks like premium laptops.
Awesome performance",4
106,Terrific,"I use autocad and revit software not too lag
Nice smooth laptop",5
107,Classy product,This laptop is good in battery backup I used it for 6 hours but still battery remain 15% and over all it is good product,5
108,Simply awesome,"Best Performance in this price bracket.....
Overall a premium experience from lenovo.",5
109,Must buy!,Such a guys this is so fantastic product,5
110,Expected a better product,Bettery Backup is not as per the description. speaker sound is very very low. very disappointed with this.,2
111,Good choice,Very nice service by Flipkart 🤗🤗🤗🤗 delivery boy give us detailed information about this product 👍👍👍,4
112,Brilliant,Best product...awesome colour and everything up to the mark,5
113,Good,Battery backup is hardly 5hrs on the normal usage:(,3
114,Fabulous!,"Awesome product ..but little issue with microphone ..if we connect the earphones to the Lap ,it's getting muted n for the each time we need to go to settings n change it.. except that everything is OK..
There is no heating issue , we can use it for longer time ..
When we just open the laptop it's automatically gets switched on ..",5
115,Excellent,Every thing is just fine but the tn display is so annoying as always,5
116,Excellent,Nice,5
117,Simply awesome,Value for money and the performance is really great.,5
118,Pretty good,Best,4
119,Mind-blowing purchase,"Lenovo IdeaPad laptop is very nice,no defects and good product",5
120,Perfect product!,Very good but little bit heating,5
121,Just wow!,Very Good Budget Laptop,5
122,Good choice,This is awesome go for it excellent 🥰🥰🥰,4
123,Value-for-money,Suitable for students,4
124,Classy product,Excellent product.,5
125,Pretty good,Nice value for money.,4
126,Must buy!,Nice,5
127,Super!,Good enough...,5
128,Simply awesome,Good,5
129,Wonderful,Amazing quality and affordable,5
130,Just wow!,Lenovo idea pad 3 core is 11th Gen 8gb/512 ram fulfilled my requirement as per stated specification and configurations,5
131,Worth the money,Awesome,4
132,Great product,Nice product value for money.,5
133,Did not meet expectations,Bad,1
134,Don't waste your money,Battery backup is worst,1
135,Terrible product,"Because in many days i try to return this laptop but Flipkart service is very bad.so i was request you return this laptop and refund my money.
I like another laptop but my father by mistake buy this laptop.",1
136,Really Nice,"Great laptop in this price range.

Works very well
Happy with the product",4
137,Super!,I like this product,5
138,Brilliant,Simply Superb,5
139,Just wow!,Quality and product is outstanding. And my first choice is Lenovo. Just love it,5
140,Best in the market!,Best laptop...,5
141,Value-for-money,"Nice product.

Good for students",4
142,Great product,Best product,5
143,Worth the money,NYC product in this price,4
144,Wonderful,Nice product 40k range,5
145,Super!,Superb..,5
146,Best in the market!,Great Product.,5
147,Excellent,Nice product 👍,5
148,Terrific,Goood,5
149,Highly recommended,"If you want long battery back up, don't go for it. Also the display , colour is not satisfactory. But for students it is a good product.",5
150,Great product,A very good product for a given price. It's more than sufficient for daily use home and office purpose. Slim light weight with incredibly fast operations.,5
151,Simply awesome,Nice speed i m a trader and this laptop working nicely,5
152,Wonderful,Hardware body not up to that level but it's ok best for students,5
153,Worth every penny,Very good product,5
154,Not recommended at all,"Donot buy
Battery is very bad
Sound is extremely slow
Waste of money",1
155,Wonderful,Very good laptop in this price range but battery backup and speaker sound should be better. Battery backup in normal use is 4 to 5 hours only.,4
156,Classy product,Nice laptop thank u flipkart,5
157,Really Nice,"Screen is little dull , performance is excellent
Worth for the low price
Suits for users with moderate use
Overall good product so far , will update after a month",4
158,Awesome,Good product,5
159,Great product,"The laptop is really amazing in the budget , build quality and design well finished",5
160,very goog,genuine product delivered by seller and its working fine.,5
161,Wonderful,Nice product,4
162,Worth the money,Good product... Thanks flipkart,4
163,Just wow!,Perfect,5
164,Awesome,Superb leptop in this range,5
165,Decent product,Good to use,3
166,Classy product,Fantastic product,5
167,Good,It's Good laptop for students and display is not Ips display & product is ok,3
168,Really Nice,Awesome laptop,4
169,Excellent,I am happy with this laptop in this price,5
170,Terrific purchase,Good product,5
171,Good quality product,"Laptop is really very good at this price range, go for it.",4
172,Brilliant,Good,5
173,Must buy!,Good product,5
174,Must buy!,Good,5
175,Best in the market!,Super,5
176,Wonderful,Good product,4
177,Just wow!,Osm product,5
178,Nice product,Excellent product but delivery very slow,4
179,Best in the market!,Nice Product,5
180,Mind-blowing purchase,Writing this after two weeks of usage. It really works good.,5
181,Classy product,Very nice laptop.,5
182,Excellent,"Performance of this laptop is very nice
Display quality is awesome",5
183,Wonderful,"Fast Delivery, Good product but battary backup not good, Display is average, value for money in 38k",4
184,Fabulous!,Just go for it .. best in this budget segment 😍💵,5
185,Excellent,"Wonderful product battery backup is Good and performs well ,",5
186,Great product,Very good product,5
187,Worth the money,Nice,4
188,Not good,Battery drains very fast,2
189,Very Good,Superr,4
190,Delightful,"Really nice. Looks like premium laptops.
Awesome performance",4
191,Fabulous!,Amazing laptop worth each and every paisa build quality is very very top notch and good support of 1 hdd 2 m.2ssd and 2 rams with spare parts of each thing good job lenevo bestest of all🦾🦾🦾🦾🦾🦾,5
192,Classy product,Budget friendly laptop. I can never buy any other brand laptop on this budget. The performance is good and cool looking laptop. Worth for money,5
193,Perfect product!,Awesome,5
194,Must buy!,Nice product,5
195,Awesome,Good for programmer also not only for playing game. Yes battery drain faster if we close gaming service it will come upto 5 hrs easily. I have reviewed it after 10 hrs use.,5
196,Simply awesome,Value for money. Latest configuration for this price. Open box delivery is very much useful for verifying the product as described in the portal. 1st day review.,5
197,Fabulous!,Best laptop in this price range ❣,5
198,Mind-blowing purchase,It is good laptop for those who are excited to play more games,5
199,Terrific,Laptop Is Great But Battery Is Low Efficiency 🥲,5
200,Good,"Build quality is very poor and low quality plastic is used.
Track pad is average and difficult to handle, need to use a separate mouse instead.
Battery drains very fast, so without power plugin not recommended to use.
Heating too much in small tasks also, plastic build may get damaged because of this heat.
Not useful for every day",3
201,Fabulous!,Amazing laptop worth each and every paisa build quality is very very top notch and good support of 1 hdd 2 m.2ssd and 2 rams with spare parts of each thing good job lenevo bestest of all🦾🦾🦾🦾🦾🦾,5
202,Classy product,Budget friendly laptop. I can never buy any other brand laptop on this budget. The performance is good and cool looking laptop. Worth for money,5
203,Perfect product!,Awesome,5
204,Must buy!,Nice product,5
205,Awesome,Good for programmer also not only for playing game. Yes battery drain faster if we close gaming service it will come upto 5 hrs easily. I have reviewed it after 10 hrs use.,5
206,Simply awesome,Value for money. Latest configuration for this price. Open box delivery is very much useful for verifying the product as described in the portal. 1st day review.,5
207,Fabulous!,Best laptop in this price range ❣,5
208,Mind-blowing purchase,It is good laptop for those who are excited to play more games,5
209,Terrific,Laptop Is Great But Battery Is Low Efficiency 🥲,5
210,Good,"Build quality is very poor and low quality plastic is used.
Track pad is average and difficult to handle, need to use a separate mouse instead.
Battery drains very fast, so without power plugin not recommended to use.
Heating too much in small tasks also, plastic build may get damaged because of this heat.
Not useful for every day",3
211,Just wow!,Overall ok,5
212,Nice,Ok but,3
213,Excellent,Killer Laptop 😍 Turbo Flash 🤩 Just Amazing!,5
214,Wonderful,Just wow ♥️,5
215,Terrific,quite good as expected,5
216,Perfect product!,Overall quality best,5
217,Must buy!,It's really very good in this price,5
218,Just wow!,Overall ok,5
219,Nice,Ok but,3
220,Excellent,Killer Laptop 😍 Turbo Flash 🤩 Just Amazing!,5
221,Wonderful,Just wow ♥️,5
222,Terrific,quite good as expected,5
223,Perfect product!,Overall quality best,5
224,Must buy!,It's really very good in this price,5
225,Super!,"This is a good laptop and it's charging speed is fast and boot time is 3-5 seconds it takes
Very good laptop don't think too much just go for it",5
226,Really Nice,"Cons.
1.Lite or Dim display colour in 1080p resolution while Online Video Streaming.
2.Battery Backup is only 3 hours after normal uses but in description shows 9.5 hours.

Pros
1.If you want to buy this Laptop for college or office purpose then buy.
2.Best in this price segment🏆
3.Window boot in 5 sec
4. 8/512⚡️
5.lite gaming and System Sound Game recording in 60fps.
6.mircrosoft office student 2021 pre- installed(lifetime validity).",4
227,Great product,Good,5
228,Hated it!,Poor battery backup and screen resolution is pathetic. Don't buy this.,1
229,Wonderful,Good,5
230,Good,"The product is good, value for money.
But the display and sound could have been better.
Performance is pretty good.",3
231,Brilliant,Good product.. best value for money... Battery backup avarage,5
232,Wonderful,Nice product,5
233,Terrific,NYC,5
234,Excellent,"Worth buying it. Everything is perfect at price point except for camera but still better than others at this price range.
Battery backup is upto 7hr+",5
235,Perfect product!,"One of the best Laptop in the market for home usage. Mind-blowing display, Crystal clear sound quality, Smooth touch experience,Run 4k video , Built with Windows 11 and MS Office along with many other useful softwares. If you are looking for a budget laptop then just go for it. I bet you will definitely like this.",5
236,Classy product,Lenovo ideapad 3 core i3 laptop is nice also performance and copy paste speed also high due to ssd. Love and recommend to all friends. Thanks,5
237,Just wow!,"Excellent & far far better than HP laptops. Very fast at lowest price.
Battery backup: 5-6 hrs for 100% charge
No heating problem.
Delightful design & HD resolution.
Everything beyond expectations except webcam ( webcam could have been improved, but not required in smart phones era ).",5
238,Simply awesome,Best budget laptop if u are student then this laptop is best for you. it starts and shutdown very quickly the body is very slim 8 gb ram and 256gb ssd makes it fast but still it depends on your use overall it's nice laptop,5
239,Mind-blowing purchase,"Lapt lennovo is very good excellent product heavy body smooth running fast working with ,8gb ram 256 GB SSD looking good display good battery back up I try this product in this rate no products available in this rate so pls purchase don't take any tenson . Cheap rate good performance excellent working smart looking laptop",5
240,Very Good,"I had purchased this product 3 weeks ago, first of all, thanks to Flipkart for good packaging and product delivery. It's good for IT professionals at least for higher-end software. I have i5 processor as well but I don't see any differences, performance wise both are very nice. I love Lenovo products. Thank you Flipkart.",4
241,Value-for-money,Design and performance wise this laptop is top notch... You can do light gaming also... No issue in day to day usage... Screen quality is poor.. If you're seeing with different angles and not straight'ly then screen is barely visible to you... And battery is not good... But performace wise top notch... 👌👌I Will suggest that you should go for HP laptop is this range....,4
242,Really Nice,LAPTOP is really cool and fine with the stylish design but the only thing about the battery. they said 7 hours back up but it comes actual on 5 hours.,4
243,Excellent product,"One of the best Laptop in the market for any usage , Mind-blowing display, Crystal clear sound quality, Smooth touch experience, Run 4k video , Built with Windows 11 and MS Office along with many other useful softwares. If you are looking for a budget laptop then just go for it. I bet you will definitely like this.

According to the budget , product is very reasonable price .

Just go for it !!!!",5
244,Excellent,"Worth buying it. Everything is perfect at price point except for camera but still better than others at this price range.
Battery backup is upto 7hr+",5
245,Perfect product!,"One of the best Laptop in the market for home usage. Mind-blowing display, Crystal clear sound quality, Smooth touch experience,Run 4k video , Built with Windows 11 and MS Office along with many other useful softwares. If you are looking for a budget laptop then just go for it. I bet you will definitely like this.",5
246,Classy product,Lenovo ideapad 3 core i3 laptop is nice also performance and copy paste speed also high due to ssd. Love and recommend to all friends. Thanks,5
247,Just wow!,"Excellent & far far better than HP laptops. Very fast at lowest price.
Battery backup: 5-6 hrs for 100% charge
No heating problem.
Delightful design & HD resolution.
Everything beyond expectations except webcam ( webcam could have been improved, but not required in smart phones era ).",5
248,Simply awesome,Best budget laptop if u are student then this laptop is best for you. it starts and shutdown very quickly the body is very slim 8 gb ram and 256gb ssd makes it fast but still it depends on your use overall it's nice laptop,5
249,Mind-blowing purchase,"Lapt lennovo is very good excellent product heavy body smooth running fast working with ,8gb ram 256 GB SSD looking good display good battery back up I try this product in this rate no products available in this rate so pls purchase don't take any tenson . Cheap rate good performance excellent working smart looking laptop",5
250,Very Good,"I had purchased this product 3 weeks ago, first of all, thanks to Flipkart for good packaging and product delivery. It's good for IT professionals at least for higher-end software. I have i5 processor as well but I don't see any differences, performance wise both are very nice. I love Lenovo products. Thank you Flipkart.",4
251,Value-for-money,Design and performance wise this laptop is top notch... You can do light gaming also... No issue in day to day usage... Screen quality is poor.. If you're seeing with different angles and not straight'ly then screen is barely visible to you... And battery is not good... But performace wise top notch... 👌👌I Will suggest that you should go for HP laptop is this range....,4
252,Really Nice,LAPTOP is really cool and fine with the stylish design but the only thing about the battery. they said 7 hours back up but it comes actual on 5 hours.,4
253,Excellent product,"One of the best Laptop in the market for any usage , Mind-blowing display, Crystal clear sound quality, Smooth touch experience, Run 4k video , Built with Windows 11 and MS Office along with many other useful softwares. If you are looking for a budget laptop then just go for it. I bet you will definitely like this.

According to the budget , product is very reasonable price .

Just go for it !!!!",5
254,Excellent,Its a awesome product only because of the specifications provided in this price range. Very useful for office and students use. Under 40k u will get 8gb/256gb ssd with core i3 10th generation processor which is not available in other brand like hp or dell. Performance of the laptop is also up to the mark. Thin and light. Just go for it. Worth purchase.,5
255,brilliant product,"nice product with great speed,comes with office and alexa.everything works well and battery works good.as expected.",4
256,Worth the money,Vry nice in this price but i face one prblm when i updated all drivers then mouse can't work so give me suggestions but overall i have good experience about Lenovo ideapad 3 core window 11 was good i love this laptop,4
257,best laptop in market.,Lenovo laptop having windows 11 and other good features. Also it is in budget. I am surely highly recommended for office and work from home users.,4
258,Does not exceed expectations but...,"Writing this review after using it for a month. Everything is good except its weight, quiet heavy. I mean you have a few lighter laptops of nearly same specs at a lower price so why not buy them, like the infinix INbook. Basically what I'm trying to say is, you have better options than this laptop. I'm not saying that this laptop is bad, it has been working good for me, atleast until now . :-)
What else can I say, I don't have much experience of writing fancy reviews.
Well I hope it helps yo...
READ MORE",4
259,Value-for-money,Better performance with better battery life . It's good laptop in this price range .,4
260,Worth every penny,VALUE FOR MONEY 💻 FAST WORKING AND SMOTH PERFORMANCE,5
261,Excellent,"First impression is awesome not have hanging problem and battery response is also good
Thanks flipkart",5
262,Nice product,"Better pricing then market we are getting it for less pricing then market for the same configuration online.

2 year warranty I think it's a fair deal 8GB RAM 256 GB SSD with i3 10th generation I think it deserved the price.",4
263,Terrific purchase,This product is so good. But it took so much times and it was delivered under 9 days. Value of money. I recommend you to buy this laptop......,5
264,Terrific,This is an vry good product at that price range. No one compete this product in the market at that time. Thankyou Lenovo.,5
265,Pretty good,nice,4
266,Worth every penny,Good,5
267,Highly recommended,Amazing product,5
268,Nice,"It's just nice 👍
Value for money also good
and battery 🔋performance is also very good",3
269,Great product,"I have received this laptop on 4 Oct 2021 ....
Laptop delivers within 48 hrs
I have unpacked the laptop found no physical damage
Bill's and warranty card are available inside laptops
Design is super
Laptop boots with in 5 seconds
Laptop has automatic booting
Laptop shut down with in 5 seconds
Charger connecting
Windows 10 Os with 64 bit
Ms office full access
McAfee anti virus
Google chrome and edge available
All keys working properly in keyboard including mouse
Wifi and bluetooth working p...
READ MORE",5
270,Value-for-money,Good 1 I like it... Value for money,4
271,Terrific purchase,Good prodoct,5
272,Super!,Very good. Thanks to lenovo and flipkart.,5
273,Just wow!,"Good product 👍 velue for money 💰 But as the company told on the laptop that the laptop will run for 8 hours, the battery is nothing like that, it can last only 4 hours.",5
274,Nice product,"After 1 week of use I find:
Performance: 5/5
Display: 3/5
Webcam: 2/5
Battery :4/5
Sound:5/5
Wifi & Bluetooth :5/5
Built quality :4/5
Touch pad :4/5
Keypad: 3.5/5
Looks: 3/5

I used to prefer HP laptop earlier but this time I chose lenevo and it's also superb one.

Battery backup: 5 hr. online, 6.5 hr offline mode

For warranty date update, you need to call lenevo customer care and if you face any difficulty in MS office activation (it comes with original office home and student 2021) you nee...
READ MORE",4
275,Wonderful,Nyc leptop with batrry issue,4
276,Unsatisfactory,"I have bought it in last year oct and in very next month we observed sound for web calling is very low, to over come it we started to use headphone.
After six month now laptop is automatically getting restarted.",1
277,Simply awesome,Best laptop under this price very much good quality 😃😃 with windows 11,5
278,Classy product,Performance is good.. worth for work from home,5
279,Delightful,Looking good till now great speed due to SSD and 8 gb of ram. It also has privacy shutter that is also good. Value for money,4
280,Slightly disappointed,"Very very disappointed, after receiving laptop with in 10 days some hardware issue in lenovo laptop but company refused to replace laptop.dont buy lenovo laptop.",2
281,Worst experience ever!,Giving heating problem,1
282,Simply awesome,Product is very good 👍🏻,5
283,Classy product,Very good Laptop on Average price,5
284,Wonderful,"The Laptop delivered me on 9th October on bigbillon days and since it is working very well, the Laptop working very fast just bcz of ssd and 8gb ram at this features the price is good, For more queries message me Thankyou..",5
285,Value-for-money,It's been 20days I'm using this laptop. It's does preety good job. It's good for students and one who have basic requirements does the job very well.. i use this for my personal and official it's giving me good.,4
286,Nice,Display is not good,3
287,Wonderful,Best laptop in this price range,5
288,Terrific,I'm very happy with this laptop.,5
289,Really Nice,Best for students,4
290,Delightful,Good Product,4
291,Wonderful,Best laptop for 1st year btech cse students,4
292,Worthless,Very bad product I was facing problems after purchasing in only 2 weeks not working properly and so many times It shows some error on screen and not opened.,1
293,Value-for-money,Nice laptop 💻 👌,4
294,Really Nice,"Awesome 👍👍 laptop under 40k
I am very happy 😊",4
295,Best in the market!,"Budget laptop nice performance,",5
296,Brilliant,Only 5 sec to boot i am surprised overall all i am satisfied with this,5
297,Must buy!,None other then like this in this price range....No competition,5
298,Good choice,value for money product,4
299,Simply awesome,Worth the price,5
300,Fair,But lack of graphics card and you also can't add.,3
301,Super!,Good product and higly recommend to buy.,5
302,Fair,"Display is not so good. 1 star for display (colour, contrast) .",3
303,Terrific purchase,So good,5
304,Best in the market!,Nice super working,5
305,Must buy!,Good product,5
306,Mind-blowing purchase,Good look.. performance ok.. battery little low.. value for money yes,5
307,Super!,"Nice one laptop osm & light wait
But automatically start .. Laptop issue... 😣",5
308,Super!,Good,5
309,Terrible product,Laptop has not ms word Excel files to work,1
310,Great product,Worth the amount paid,5
311,Terrific purchase,Great product fully satisfied.,5
312,Good quality product,Good one...,4
313,Best in the market!,This product is very good,5
314,Value-for-money,Nice laptop at this price... value for money...,4
315,Must buy!,"Excellent one battery life
Performance",5
316,Perfect product!,Perfect!,5
317,Great product,Student friendly...u can do chemistry project like gaussview molecule run also,5
318,Worth the money,Perfect For Home,4
319,Nice,The reason for giving 3 Star is something different. I didn't know the Laptop will be too much bulky. I was using another Laptop which was so thin and the weight was also as U r holding a notebook. Well it's my mistake. I didn't know or not aware of the weight. Or else other thing are almost OK to me.,3
320,Best in the market!,Nice product ☺️👍,5
321,Highly recommended,Good product,5
322,Fabulous!,Value for money you pay,5
323,Great product,Battery 👍,5
324,Pretty good,First experience is awesome... Real Review will after some months,4
325,Super!,Best laptop 👍👍,5
326,Good quality product,A good product...,4
